Username,Timestamp,location,device
SafiaAlnaeimy,2020-07-11 09:24:26+00:00,,Android
MarkofClubs,2020-07-11 09:24:26+00:00,South West England,iPhone
basiciggy,2020-07-11 09:24:26+00:00,"Los Angeles, CA",iPhone
MaryBurke6,2020-07-11 09:24:26+00:00,,iPhone
beaner1karen,2020-07-11 09:24:26+00:00,"Michigan, USA",Android
winstonszeto,2020-07-11 09:24:26+00:00,"Vancouver, British Columbia",iPad
Ricochetrabbitt,2020-07-11 09:24:26+00:00,Sheffield,Mobile device
Minghowriter,2020-07-11 09:24:26+00:00,London,iPhone
Rahul62202040,2020-07-11 09:24:27+00:00,,Android
mr_moog,2020-07-11 09:24:27+00:00,"Sheffield, England",Mobile device
YinkaWorldwide,2020-07-11 09:24:27+00:00,"London, England",Android
wothappenbabe,2020-07-11 09:24:27+00:00,Nigeria,Android
22TRANCE,2020-07-11 09:24:27+00:00,"Virginia, USA",Android
simonbarrow,2020-07-11 09:24:28+00:00,"Leith / Edinburgh, Scotland",Mobile device
rebeccahoyle,2020-07-11 09:24:29+00:00,"Southampton, UK",iPhone
PavinaMilward,2020-07-11 09:24:29+00:00,blm ,iPhone
JoC100200,2020-07-11 09:24:29+00:00,,iPad
conscious2,2020-07-11 09:24:29+00:00,UK,Android
Ajaykumar7662,2020-07-11 09:24:30+00:00,,Android
Ch3mistry12,2020-07-11 09:24:30+00:00,,Android
kathlynanne,2020-07-11 09:24:30+00:00,"Los Angeles, CA",iPhone
Geog_Paul,2020-07-11 09:24:31+00:00,"Leyland, England",Android
TheRightBack,2020-07-11 09:24:32+00:00,,-
stevecoleOxford,2020-07-11 09:24:33+00:00,"Oxford, England",iPhone
AmetepeyFrancis,2020-07-11 09:24:33+00:00,"Nsawam, Ghana",Android
nine_niall,2020-07-11 09:24:35+00:00,"Atlanta, GA",Android
Nichtarida,2020-07-11 09:24:35+00:00,,Mobile device
AkshayS07832265,2020-07-11 09:24:35+00:00,,Android
ATamariya,2020-07-11 09:24:35+00:00,"Bengaluru, India",Android
BrittonGillian,2020-07-11 09:24:35+00:00,"Glasgow, Scotland",Android
baronvontong,2020-07-11 09:24:35+00:00,,Mobile device
rsrikanth05,2020-07-11 09:24:36+00:00,Mumbai/Chennai/Bangalore,Android
ClientSecureUK,2020-07-11 09:24:36+00:00,Nationwide,Instagram
kwbishop,2020-07-11 09:24:37+00:00,NYC Metro,iPhone
poorvickjames,2020-07-11 09:24:37+00:00,"Bengaluru, India",iPhone
Jennife01593284,2020-07-11 09:24:38+00:00,,Android
weehousie,2020-07-11 09:24:38+00:00,,iPhone
TeachESL,2020-07-11 09:24:38+00:00,Israel,Android
Mounjo99,2020-07-11 09:24:38+00:00,Pune,Android
milairpix,2020-07-11 09:24:38+00:00,Hatfield,-
abidkha15801721,2020-07-11 09:24:39+00:00,"Jammu, Jammu And Kashmir",Android
b_fitzgibbon,2020-07-11 09:24:39+00:00,Monash University,iPhone
hkp_08,2020-07-11 09:24:39+00:00,,Mobile device
f5d7151950314ae,2020-07-11 09:24:40+00:00,,Android
YinkaWorldwide,2020-07-11 09:24:40+00:00,"London, England",Android
ZafarAK12,2020-07-11 09:24:40+00:00,"اسلام آباد, پاکستان",Android
ojhahrithikk,2020-07-11 09:24:41+00:00,"Mira Road, Mumbai",Android
stevenson_maeve,2020-07-11 09:24:41+00:00,,Android
ramdasrocks,2020-07-11 09:24:42+00:00,Gods Own Country,Android
whitee11952009,2020-07-11 09:24:42+00:00,United Kingdom,iPhone
DrHirugami,2020-07-11 09:24:42+00:00,,iPhone
Leslie17Debbie,2020-07-11 09:24:42+00:00,"St. Cloud, MN",iPhone
patientsafe3,2020-07-11 09:24:42+00:00,,iPad
GlasgowCRF,2020-07-11 09:24:42+00:00,NHS Greater Glasgow and Clyde,Android
Cooper56John,2020-07-11 09:24:42+00:00,Sarf London,Android
GillGreeny,2020-07-11 09:24:43+00:00,"Motherwell, Scotland. Europe",Android
brdgttmncl,2020-07-11 09:24:43+00:00,cdo-buk,iPhone
LubnaFarooq15,2020-07-11 09:24:43+00:00,,Android
elviseroms,2020-07-11 09:24:44+00:00,"Lagos, Nigeria",Mobile device
nuvaslacker,2020-07-11 09:24:45+00:00,"England, United Kingdom",Mobile device
